scenario,expected_profile,environment,config_id,baseline,metric,target,mediator
null_metric,no-increment,B,cfg_0000,2.3605345504545685,1.9713634474361386,2.1796842032080384,
null_metric,no-increment,A,cfg_0000,0.9788856990695215,-1.9458009982242521,0.9505164761333716,
null_metric,no-increment,A,cfg_0000,0.17227586339092327,0.2912334661918878,-0.3760037418810357,
null_metric,no-increment,B,cfg_0000,0.05743760338489925,-0.3813695736548731,0.45362376528920906,
null_metric,no-increment,A,cfg_0000,0.4509718685579212,1.4237354863531166,0.4742248239336633,
null_metric,no-increment,A,cfg_0001,-0.6512359351318031,1.109873081113947,-1.4138488364115427,
null_metric,no-increment,A,cfg_0001,0.28326176429064065,1.1694408117065498,0.060442678386527504,
null_metric,no-increment,A,cfg_0001,-0.9235769345742476,-0.5968783814731936,-1.0171267277979312,
null_metric,no-increment,B,cfg_0001,0.4973195927974818,0.561565772768342,0.14423014883427804,
null_metric,no-increment,A,cfg_0001,-0.6782132702649215,1.0802441062855197,-1.1025222851426761,
null_metric,no-increment,B,cfg_0002,0.8955183287181515,1.2973186871061995,-0.029735846549309497,
null_metric,no-increment,B,cfg_0002,-0.1203691520451698,-0.9264017953683134,-0.09544413373925885,
null_metric,no-increment,B,cfg_0002,0.2687460811883316,-0.6832383355983688,0.0077787472252846546,
null_metric,no-increment,B,cfg_0002,2.9608881101764783,0.24520679228586564,3.4352564216270824,
null_metric,no-increment,B,cfg_0002,0.8042331372410845,1.3948633430516792,0.7197338645924937,
null_metric,no-increment,A,cfg_0003,0.2678004174720013,0.6202848512143311,0.6998883365867462,
null_metric,no-increment,B,cfg_0003,0.04438856147514996,1.3758040096289033,-0.6366605831771774,
null_metric,no-increment,B,cfg_0003,-1.0391621180474284,-1.9524656227512907,-0.8589303103425654,
null_metric,no-increment,A,cfg_0003,1.084221138602485,-0.271635815206322,1.456381418819324,
null_metric,no-increment,A,cfg_0003,1.602339182272055,0.49884179382339655,1.9834211682292984,
null_metric,no-increment,A,cfg_0004,0.06435512082695703,0.26958425504687444,-0.11180914369507967,
null_metric,no-increment,B,cfg_0004,1.6767515280053136,-1.891317018637908,1.1668744232769632,
null_metric,no-increment,B,cfg_0004,-0.11227777000217626,1.100879062559077,0.7783289293561988,
null_metric,no-increment,B,cfg_0004,-1.7730543499604152,0.3453340596986565,-1.9021127707919505,
null_metric,no-increment,A,cfg_0004,-0.6532382889017887,-0.46651205752338687,-1.3284911903841126,
null_metric,no-increment,B,cfg_0005,-1.0569923297456651,1.197754308544923,-1.1933107844988053,
null_metric,no-increment,B,cfg_0005,-0.27454002363426705,-1.729266526532762,-0.11421608363681063,
null_metric,no-increment,B,cfg_0005,0.6269808108517896,-0.5113231653167735,0.21784125386292763,
null_metric,no-increment,A,cfg_0005,-0.9289735715716899,0.88403782656442,-0.7218643704090545,
null_metric,no-increment,B,cfg_0005,-0.08024511048423202,0.375991983528501,0.3939401809767976,
null_metric,no-increment,B,cfg_0006,0.19935209435683685,-0.22468760966830967,0.1591065290936755,
null_metric,no-increment,B,cfg_0006,-0.7330282419795471,-0.15377622819119266,-0.1947101514074825,
