run_id,task,source_task,model_key,parameter_count,tensor_count,kernel_count,parameter_l2,initial_parameter_l2,distance_from_initialization_l2,relative_distance_from_initialization,update_to_weight_ratio,frobenius_sum_sq,log_frobenius_product_sq,spectral_sum_sq,log_spectral_product_sq,split,architecture,dataset,dev_name,train_acc,test_acc,train_loss,test_loss,generalization_gap_accuracy,generalization_gap_loss,test_error,hp.nparams,hp.depth,hp.wd,hp.reverse,hp.lr,hp.bs,hparams_json,hp.weight_decay,hp.conv,hp.dropout_p,hp.dense,hp.convwidth,hp.num_conv_blocks,hp.dense_width,hp.num_dense_layers
task1:21,task1,task1_v4,21,19152778,8,4,20.723147018780566,28.14310838720859,28.551617036358355,1.0145154061708208,1.3777645359791715,420.0462359492674,17.906487152845834,46.75371126216807,9.18598555256284,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0.001_lr_0.001_bs_32_drop_0.5_opt_sgd-mom_convwidth_512,0.9997599720954896,0.7368999719619751,0.0098507264629006,1.0016824007034302,0.2628600001335144,0.9918316742405296,0.2631000280380249,,,,,,32,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}",0.001,,0.5,,512.0,1.0,128.0,1.0
task1:23,task1,task1_v4,23,19152778,8,4,21.145722781234856,28.13961835583744,16.365362267375744,0.5815772644969373,0.7739325080861601,442.00389221357483,17.79976181770714,24.736714331158627,7.058592749970641,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0.001_lr_0.001_bs_32_drop_0_opt_sgd-mom_convwidth_512,0.9999600052833556,0.7196000218391418,0.0095140188932418,1.254157304763794,0.2803599834442138,1.244643285870552,0.2803999781608581,,,,,,32,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}",0.001,,0.0,,512.0,1.0,128.0,1.0
task1:24,task1,task1_v4,24,8987274,8,4,19.777993656370153,23.14810621328173,15.34693673843388,0.6629888681618474,0.7759602417250697,384.4663643869469,17.74384171918045,30.4654357876727,7.7273766797557375,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0.001_lr_0.001_bs_512_drop_0.5_opt_sgd-mom_convwidth_256,0.9999399781227112,0.7171000242233276,0.009708316065371,1.1477031707763672,0.2828399538993835,1.1379948547109962,0.2828999757766723,,,,,,512,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}",0.001,,0.5,,256.0,1.0,128.0,1.0
task1:25,task1,task1_v4,25,19152778,8,4,22.25279046157418,28.160209054497454,16.09024152945264,0.5713821761164403,0.7230662400401898,488.51196977339777,18.35100786358026,30.019480346234584,7.689566516521479,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0.001_lr_0.001_bs_512_drop_0.5_opt_sgd-mom_convwidth_512,0.9999600052833556,0.7233999967575073,0.0099099930375814,1.1054102182388306,0.2765600085258484,1.0955002252012491,0.2766000032424927,,,,,,512,"{""bs"":512,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.001}",0.001,,0.5,,512.0,1.0,128.0,1.0
task1:86,task1,task1_v4,86,8987274,8,4,27.338768955826346,23.139854909024134,12.845310213993796,0.5551162816057396,0.4698569359413767,743.5982138926156,19.206735620400323,30.292606706968876,7.997078996133579,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0_lr_0.001_bs_32_drop_0_opt_sgd-mom_convwidth_256,0.999779999256134,0.7179999947547913,0.0063130282796919,1.458310842514038,0.2817800045013428,1.4519978142343462,0.2820000052452087,,,,,,32,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}",0.0,,0.0,,256.0,1.0,128.0,1.0
task1:88,task1,task1_v4,88,8987274,8,4,27.290309767702727,23.16291278426281,12.699543217758036,0.5482705623442261,0.4653499108605784,739.8525062461168,19.472372992367454,33.28086475973671,8.321006344631117,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0_lr_0.001_bs_512_drop_0.5_opt_sgd-mom_convwidth_256,0.9997000098228456,0.7088000178337097,0.0096568316221237,1.2732131481170654,0.2908999919891357,1.2635563164949415,0.2911999821662903,,,,,,512,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}",0.0,,0.5,,256.0,1.0,128.0,1.0
task1:90,task1,task1_v4,90,8987274,8,4,25.83194580886538,23.136059121697254,9.439337226830467,0.4079924405958209,0.3654133256810619,664.38751412655,18.721690838735515,24.107295377998224,7.106023272244597,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0_lr_0.001_bs_512_drop_0_opt_sgd-mom_convwidth_256,0.9999799728393556,0.6682999730110168,0.0099334474653005,1.7662090063095093,0.3316799998283386,1.7562755588442087,0.3317000269889831,,,,,,512,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}",0.0,,0.0,,256.0,1.0,128.0,1.0
task1:92,task1,task1_v4,92,8987274,8,4,44.60150380009286,23.137637168417854,37.17795722357298,1.606817366568429,0.833558379336429,1974.0011383902106,22.585641552623024,131.46260349337803,13.469101562570902,development,vgg,cifar10,dw_128_conv_1_dense_1_w_0_lr_0.001_bs_8_drop_0.5_opt_sgd-mom_convwidth_256,0.9987999796867372,0.7330999970436096,0.0097406115382909,1.2269136905670166,0.2656999826431274,1.2171730790287256,0.2669000029563904,,,,,,8,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":1,""weight_decay"":0.0}",0.0,,0.5,,256.0,1.0,128.0,1.0
task1:149,task1,task1_v4,149,19169290,10,5,21.990813157542906,30.347254154938405,30.48343877352992,1.0044875433505853,1.3861897036342206,472.9740739437162,21.64191282926265,59.2320218703219,11.431796421510452,development,vgg,cifar10,dw_128_conv_1_dense_2_w_0.001_lr_0.001_bs_32_drop_0.5_opt_sgd-mom_convwidth_512,0.9992600083351136,0.7398999929428101,0.0099386032670736,1.0256463289260864,0.2593600153923034,1.0157077256590128,0.2601000070571899,,,,,,32,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}",0.001,,0.5,,512.0,1.0,128.0,2.0
task1:154,task1,task1_v4,154,9003786,10,5,22.7128531834421,25.715001016948655,10.290658756544786,0.40018115300723706,0.45307644413634396,513.0800382804457,21.855629602321862,23.931724227764327,7.612962722954042,development,vgg,cifar10,dw_128_conv_1_dense_2_w_0.001_lr_0.001_bs_512_drop_0_opt_sgd-mom_convwidth_256,0.9999600052833556,0.6815000176429749,0.0099240439012646,1.6015231609344482,0.3184599876403808,1.5915991170331836,0.3184999823570251,,,,,,512,"{""bs"":512,""convwidth"":256,""dense_width"":128,""dropout_p"":0.0,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}",0.001,,0.0,,256.0,1.0,128.0,2.0
task1:156,task1,task1_v4,156,9003786,10,5,46.28144443214705,25.760456545788955,50.6836272217497,1.9674972425919572,1.095117662026661,2075.1960425487473,25.39239665442686,305.4496134159464,15.264323006357928,development,vgg,cifar10,dw_128_conv_1_dense_2_w_0.001_lr_0.001_bs_8_drop_0.5_opt_sgd-mom_convwidth_256,0.9996600151062012,0.7487000226974487,0.0064016245305538,0.9502671360969543,0.2509599924087524,0.9438655115664004,0.2512999773025512,,,,,,8,"{""bs"":8,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.001}",0.001,,0.5,,256.0,1.0,128.0,2.0
task1:213,task1,task1_v4,213,19169290,10,5,38.91624572947729,30.347591446878543,23.752210486445687,0.782672012967565,0.6103417747836469,1505.4301363781358,26.273773144465828,83.19054498203832,13.777249085056898,development,vgg,cifar10,dw_128_conv_1_dense_2_w_0_lr_0.001_bs_32_drop_0.5_opt_sgd-mom_convwidth_512,0.9991999864578248,0.7379999756813049,0.009419766254723,1.2019208669662476,0.2612000107765198,1.1925011007115245,0.262000024318695,,,,,,32,"{""bs"":32,""convwidth"":512,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":1,""num_dense_layers"":2,""weight_decay"":0.0}",0.0,,0.5,,512.0,1.0,128.0,2.0
task1:532,task1,task1_v4,532,1671114,16,8,19.375290218615532,31.248609597128155,32.20092257419904,1.030475371203665,1.6619582060897753,362.1486033438076,28.45709434389238,43.44205856390553,11.1926237682705,development,vgg,cifar10,dw_128_conv_3_dense_1_w_0.001_lr_0.001_bs_32_drop_0.5_opt_sgd-mom_convwidth_256,0.9987800121307372,0.8127999901771545,0.0093647399917244,0.8091332316398621,0.1859800219535827,0.7997684916481376,0.1872000098228454,,,,,,32,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.001}",0.001,,0.5,,256.0,3.0,128.0,1.0
task1:596,task1,task1_v4,596,1671114,16,8,39.085303928133044,31.257596814821067,21.951717120099197,0.702284223900751,0.5616360860455959,1520.8451938627459,39.522144664939205,63.759852907059155,15.740783763943373,development,vgg,cifar10,dw_128_conv_3_dense_1_w_0_lr_0.001_bs_32_drop_0.5_opt_sgd-mom_convwidth_256,0.9983000159263612,0.8131999969482422,0.0083106411620974,1.022026538848877,0.1851000189781189,1.0137158976867795,0.1868000030517578,,,,,,32,"{""bs"":32,""convwidth"":256,""dense_width"":128,""dropout_p"":0.5,""num_conv_blocks"":3,""num_dense_layers"":1,""weight_decay"":0.0}",0.0,,0.5,,256.0,3.0,128.0,1.0
