repetition,residual_r,block_permutation_p,rejected
0,0.007593942696296453,0.96,False
1,-0.057041197420388566,0.39,False
2,-0.026540163504087607,0.76,False
3,0.027521198350410076,0.77,False
4,0.008385965938625279,0.9,False
5,0.08223655591389786,0.22,False
6,-0.141182832514385,0.06,False
7,-0.13369234230855773,0.05,True
8,0.03537539765071788,0.59,False
9,-0.08159153978849472,0.23,False
10,0.08871821795544889,0.3,False
11,-0.11809049654635818,0.1,False
12,-0.021053026325658142,0.82,False
13,-0.1372969324233106,0.04,True
14,0.056716417910447764,0.41,False
15,-0.09398338482839663,0.19,False
16,0.06130580563482229,0.48,False
17,-0.051517287932198313,0.5,False
18,0.06433510837770945,0.4,False
19,0.171617104784046,0.04,True
20,0.04072151803795095,0.54,False
21,-0.16472211805295134,0.03,True
22,0.05322133053326335,0.4,False
23,0.02275856896422411,0.78,False
24,0.04818870471761795,0.51,False
25,-0.08460661516537914,0.28,False
26,-0.07587489687242183,0.28,False
27,-0.05000601890273318,0.4,False
28,0.013594094950160316,0.86,False
29,-0.06875874475315295,0.33,False
30,-0.0016515412885322136,0.97,False
31,-0.03483537088427211,0.62,False
32,-0.041824061285558066,0.62,False
33,-0.033038338347837905,0.63,False
34,0.014833870846771171,0.82,False
35,-0.14601065026625668,0.06,False
36,0.043826595664891624,0.53,False
37,-0.17950505494078176,0.01,True
38,0.12704117602940077,0.05,True
39,-0.09454886372159306,0.21,False
40,-0.17242331058276458,0.03,True
41,0.05058730262305678,0.47,False
42,-0.10618315457886449,0.18,False
43,-0.031219542195885415,0.73,False
44,-0.052976824420610524,0.54,False
45,0.05122478061951549,0.49,False
46,-0.035412148583272796,0.55,False
47,-0.024628374945015963,0.69,False
48,0.011905802109729371,0.84,False
49,0.08434710867771696,0.33,False
50,0.09113856264103344,0.26,False
51,-0.04224105602640067,0.6,False
52,0.07576467252857075,0.36,False
53,0.020894022350558768,0.74,False
54,0.007893197329933248,0.89,False
55,-0.1827308867962653,0.04,True
56,-0.016813182939460693,0.87,False
57,-0.0822620565514138,0.35,False
58,-0.04726468161704043,0.52,False
59,0.04260333105952863,0.49,False
60,-0.02860348653978645,0.64,False
61,-0.016351908797719947,0.75,False
62,0.09473640393625656,0.21,False
63,0.035451176161999665,0.65,False
64,-0.10246763854172128,0.09,False
65,-0.07117827945698643,0.27,False
